,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
11,Sustainable Materials,Nike Air Vapormax 2021 FK,Women's Shoes,9 Colors,$210,$157.97,https://www.nike.com/t/air-vapormax-2021-fk-womens-shoes-1WB8SL/DC4112-002,"Made from at least 40% recycled materials by weight, the Nike Air VaporMax 2021 FK is airy and easy to wear with superstretchy, recycled Flyknit fabric (plus a soft collar that sculpts your ankle). The stitched-on Swoosh and recycled TPU heel clip add a splash of intrigue as you float down the streets on incredibly soft VaporMax cushioning.",White/Pearl Pink/Sail/White; Lilac/Barely Grape/University Blue/Black; Pink Blast/Volt/Black/Hyper Pink; Black/Racer Blue/Bright Crimson/Hyper Pink; Pink Oxford/Rose Whisper/Metallic Silver/Pink Oxford; Phantom/Summit White/Metallic Silver/Phantom; Black/Metallic Silver/Black; White/Pure Platinum/Metallic Silver/White; Black/Metallic Silver/White,592,4.8
12,Sustainable Materials,Nike Downshifter 12,Men's Road Running Shoes,11 Colors,$70,$48.97,https://www.nike.com/t/downshifter-12-mens-road-running-shoes-tNtTm4/DD9293-005,"Take those first steps on your running journey in the Nike Downshifter 12. Made from at least 20% recycled content by weight, it has a supportive fit and stable ride, with a lightweight feel that easily transitions from your workout to hangout. Your trek begins. Lace up and hit the road.",Anthracite/Black/White/Racer Blue; Black/Particle Grey/Dark Smoke Grey; Bright Crimson/Light Orewood Brown/University Gold/Obsidian; Platinum Tint/Black/White/Light Crimson; Black/Dark Smoke Grey/Light Smoke Grey/White; Black/Dark Smoke Grey/Pure Platinum/White; Midnight Navy/Dark Obsidian/Pure Platinum/Worn Blue; White/White/Pure Platinum,79,4.6
13,Best Seller,Air Jordan 6 Retro,Men's Shoes,1 Color,$200,,https://www.nike.com/t/air-jordan-6-retro-mens-shoes-CVPFVM/CT8529-100,"Be cool. Stay cool. The AJ6 ""Cool Grey"" lets your style take flight with a colorway rooted to Jordan Brand DNA. MJ wore 'em when he claimed his first championship and you'll be wearing 'em for—well, whatever you want. Laden with sleek features like dynamic design lines and an iced outsole, these sneakers bring speed and class to any 'fit. After all, they were famously inspired by Jordan's (wait for it) COOL sports car. So lace up, and let your kicks do the rest.",,452,4.8
14,Best Seller,Nike Blazer Mid '77 Vintage,Men's Shoes,6 Colors,$105,,https://www.nike.com/t/blazer-mid-77-vintage-mens-shoes-nw30B2/BQ6806-100,"In the ‘70s, Nike was the new shoe on the block. So new in fact, we were still breaking into the basketball scene and testing prototypes on the feet of our local team. Of course, the design improved over the years, but the name stuck. The Nike Blazer Mid ’77 Vintage—classic since the beginning.",Celestine Blue/Sail/White/University Blue; White/Wolf Grey/Black/Safety Orange; White/Pure Platinum/Game Royal; White/Black; White/Coconut Milk/White/Picante Red; Black/Sail/Sail; Design your own Nike By You product,0,0
15,Best Seller,Air Jordan 1 Retro High OG,Women's Shoes,1 Color,$180,,https://www.nike.com/t/air-jordan-1-retro-high-og-womens-shoes-LcJVSj/FD2596-700,"Game on! Inspired by MJ's high school days, this energetic colorway brings A+ energy to the streets. Bold bursts of Game Royal and Varsity Maize let you join the team in style, while subtly weathered leather ups the vintage appeal. Crafted details like the woven tongue label, hangtag and Wings logo add a premium boost to any 'fit. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from showing off your legendary look.",,39,5
16,Best Seller,Nike Invincible 3,Men's Road Running Shoes,4 Colors,$180,,https://www.nike.com/t/invincible-3-mens-road-running-shoes-Xrd0px/DR2615-101,"With maximum cushioning to support every mile, the Invincible 3 gives you our highest level of comfort underfoot to help you stay on your feet today, tomorrow and beyond. Designed to help keep you on the run, it’s super supportive and bouncy, so that you can propel down your preferred path and come back for your next run feeling ready and reinvigorated.",Noise Aqua/Blue Lightning/Ocean Bliss/Green Abyss; College Navy/Midnight Navy/Black/Metallic Silver; White/Sail/Oatmeal/Obsidian; Black/Dark Grey/White/White; Design your own Nike By You product,0,0
17,Best Seller,Air Jordan 1 Mid SE,Women's Shoes,5 Colors,$135,,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/DV0427-102,Luxe embroidery and a subdued palette bring a vibe of understated cool to the AJ1 Mid. The special edition Swoosh adds a hint of shine to kicks that look good (and feel good) no matter where you wear 'em.,Ice Blue/Black/Sail/Dark Powder Blue; Sail/Light Steel Grey/Black; Muslin/Celestial Gold/Sail/Desert; Coconut Milk/Black/Sail/Sport Spice; Team Red/Sail/Muslin/University Red,0,0
18,,Nike Air Force 1 '07 SE,Women's Shoes,3 Colors,$110,$72.97,https://www.nike.com/t/air-force-1-07-se-womens-shoes-XSwHNZ/DR6402-900,"Invite yourself into the garden with the hoops original. Crossing tried-and-true comfort with off-court flair, it puts a perfectly manicured spin on what you know best: era-echoing, '80s construction, bold details and nothin’-but-Swoosh style.",Multi-Color/Sail/Sanddrift/Football Grey; White/Sail/Lemon Wash/Multi-Color; White/Metallic Silver/Black/White; White/Boarder Blue/Citron Tint/Pink Oxford; Design your own Nike By You product,3,4.3
19,Best Seller,Air Jordan 1 Mid,Men's Shoes,8 Colors,$125,$87.97,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-517,"Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",Aquatone/White/Celestial Gold; Lucky Green/White/Black; Palomino/Wild Berry/White; Game Royal/Phantom/White/Rush Orange; Cement Grey/True Blue/White; Black/White/Fire Red; Dark Concord/White/Black/Taxi; Cherrywood Red/Cement Grey/White,0,0
20,,Nike Celso Girl,Women's Slides,1 Color,$26,,https://www.nike.com/t/celso-girl-womens-slides-9AwYMr/314870-011,"The Nike Celso Girl Slides offer soft cushioning and easy style. Its synthetic nubuck strap is plush and smooth, while a foam footbed offers comfort.",,272,4.8
21,Launching in SNKRS,Air Jordan 4 Retro,Men's Shoes,1 Color,$210,,https://www.nike.com/launch/r/DH6927-017,,,,
22,,Nike Dunk Low Premium MF,Women's Shoes,2 Colors,$120,,https://www.nike.com/t/dunk-low-premium-mf-womens-shoes-RdfHVg/DV7415-200,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with classic details and throwback hoops flare. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort.",Pink Oxford/White/Pink Oxford; Neutral Olive/Sail/Neutral Olive,0,0
23,Best Seller,Air Jordan 1 Low G,Golf Shoes,6 Colors,$140,,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-003,"Feel unbeatable, from the tee box to the final putt. Inspired by one of the most iconic sneakers of all time, the Air Jordan 1 G is an instant classic on the course. With Air cushioning underfoot, a Wings logo on the heel and an integrated traction pattern to help you power through your swing, it delivers all the clubhouse cool of the original AJ1—plus everything you need to play 18 holes in comfort.",White/Pure Platinum/White; White/Court Purple/University Red/Black; Black/Iron Grey/White/Black; White/Noble Green/Pollen/Black; White/Phantom/Volt/Black; White/Midnight Navy/Black,73,4.8
24,Best Seller,Nike Air Force 1 '07,Women's Shoes,5 Colors,$110,,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colors and the perfect amount of flash to make you shine.",Mantra Orange/Cinnabar/White/Mantra Orange; White/Action Green; White/Game Royal/Sanddrift/Stadium Green; Black/Black/Black/Black; White/White/White/White; Design your own Nike By You product,1802,4.8
25,,Nike Dunk High Retro Premium,Men's Shoes,5 Colors,$125,,https://www.nike.com/t/dunk-high-retro-premium-mens-shoes-dTVTCk/DV7215-700,"More iconic than amber waves of grain, this Dunk High redefines timeless. Canvas underlays with natural variation nod to classic workwear, while textured leather overlays in a warm hue add polish to your look. A punctuation of orange underfoot energizes the earthy upper—and that plush high-top collar? It brings sofa-night softness anywhere you go. They're essential for a reason.",Monarch/Sail/Monarch; Team Gold/Team Gold/Safety Orange/Wheat Gold; Psychic Purple/Psychic Purple/White/Black; White/White/Picante Red/Picante Red; White/Total Orange/Black,0,0
26,Sustainable Materials,Nike Air Max 90,Women's Shoes,13 Colors,$130,,https://www.nike.com/t/air-max-90-womens-shoes-2ZsM2w/DH8010-101,"Nothing as fly, nothing as comfortable, nothing as proven—the Nike Air Max 90 stays true to its roots with the iconic Waffle sole, stitched overlays and classic TPU accents. Fresh details give a modern look while Max Air cushioning adds comfort to your journey.",White/Photon Dust/Metallic Silver; White/Photon Dust/Cobalt Bliss/Wolf Grey; White/Alabaster/Sail/Citron Pulse; Pale Ivory/Summit White/Oatmeal/Picante Red; Summit White/Light Bone/Pure Platinum/Black; White/Black; Phantom/Shimmer/Pearl White/Metallic Silver; Hemp/Sail/Velvet Brown/Light Soft Pink; Summit White/Sail/Phantom/Neptune Green; Black/Black/White; White/White/Black; Barely Rose/Pink Oxford/Black/Summit White; White/Light Curry/Habanero Red/White,73,4.6
27,Best Seller,Nike Blazer Low '77 Vintage,Men's Shoes,3 Colors,$90,,https://www.nike.com/t/blazer-low-77-vintage-mens-shoes-jsksCM/DA6364-101,"Praised by the streets for its classic simplicity and comfort, the Nike Blazer Low '77 Vintage returns with its low-profile style and heritage b-ball looks. Featuring luscious suede details, a retro Swoosh design and a super-soft collar, it's the must-have wardrobe staple that will take you everywhere.",Celestine Blue/Sail/White/University Blue; Black/Sail/Black/White; White/Sail/Black,161,4.6
28,,Nike Air Max Dia,Women's Shoes,6 Colors,$110,$77.97,https://www.nike.com/t/air-max-dia-womens-shoes-7Vf0Hb/CI3898-100,"Designed specifically for a woman's foot, the Nike Air Max Dia delivers a lifted look, an airy aesthetic and a sleek shape. The minimal upper modernizes the look, while the Max Air unit, surrounded by clear TPU, is amplified even further by an exaggerated midsole for a boost of style.",Oil Grey/White/Bicycle Yellow; Black/Black/White; Fossil/Pistachio Frost/Hyper Blue/Hyper Crimson; White/Black; Plum Eclipse/Night Maroon/Summit White/Black; Pale Ivory/Bio Beige/Summit White/Black,80,4.6
29,Sustainable Materials,Nike Court Vision Low Next Nature,Men's Shoes,9 Colors,$75,,https://www.nike.com/t/court-vision-low-next-nature-mens-shoes-M967RF/DH2987-100,"In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.",Midnight Navy/Sail/Midnight Navy; White/White/Black; Wolf Grey/White/University Red; White/White/White; White/White/Sesame/Black; Black/Black/White; Black/Coconut Milk/University Red/Stadium Green; Black/White/Laser Blue; Black/Black/Black,213,4.8
30,,Nike Flex Runner 2,Baby/Toddler Shoes,10 Colors,$40,,https://www.nike.com/t/flex-runner-2-baby-toddler-shoes-3P1w0c/DJ6039-002,Who’s ready to play? The Nike Flex Runner 2 is built for the kiddos on the go—from the crib to the playground to wherever their day takes them. It’s laces-free! Meaning it’s super quick to slip on and off. The straps and bootie-like design make sure your little one’s fit stays snug.,Light Iron Ore/Blue Lightning/White/Black; Black/Anthracite/Photo Blue/Flat Pewter; White/White; Barely Volt/Volt/Black/Bright Spruce; Pink Foam/Flat Pewter/Photo Blue/White; Black/Photo Blue/University Gold/White; Citron Tint/Cobalt Bliss/White/Pearl Pink; University Red/Light Smoke Grey/Photo Blue/Black; Flat Pewter/Medium Ash/Photo Blue/White; Black/Cool Grey/White/Metallic Gold,80,4.8
31,,Nike Winflo 8 Premium,Women's Road Running Shoes,2 Colors,$90,$63.97,https://www.nike.com/t/wio-8-premium-womens-road-running-shoes-01GZh6/DA3056-100,"When running is an everyday habit, you need support to match your speed. The Nike Winflo 8 brings back the cushioning you love and pairs it with details like a translucent upper and Flywire technology for a snug fit. The result is improved stability for long runs. A touch of animal print lets you run wild.",White/Wheat/Gum Light Brown/Black; Black/Dark Smoke Grey/Light Smoke Grey/White,86,4.8
32,,Nike Air Force 1 '07,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-rXkGJX/DV0788-600,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: ‘80s-inspired construction, bold details and nothin’-but-net style.",White/White/University Blue; Picante Red/White/Picante Red,52,4.6
33,Best Seller,Jordan 1 Retro High OG,Little Kids' Shoes,1 Color,$85,,https://www.nike.com/t/jordan-1-retro-high-og-little-kids-shoes-6P4b0q/FD1412-031,Lead your kiddo into the heart of sneaker culture with these scaled-down J's. Legendary design elements and durable materials amplify your little baller's everyday game.,,15,4.7
34,Best Seller,Nike Free Metcon 4,Women's Training Shoes,9 Colors,$120,$102.97,https://www.nike.com/t/free-metcon-4-womens-training-shoes-pxHVt9/CZ0596-501,"The Nike Free Metcon 4 combines flexibility with stability to help you get the most out of your training program. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room.",White/Black/White/Multi-Color; Purple Smoke/Dark Smoke Grey/Metallic Gold/Metallic Copper; Arctic Orange/Football Grey/Cave Purple/Ghost Green; Football Grey/Atomic Green/Mint Foam/Black; Sweet Beet/Pink Rise/White/Cave Purple; Rush Fuchsia/Pearl Pink/Volt/Black; Sail/Crimson Bliss/Pearl White/Total Orange; Photon Dust/Dynamic Turquoise/White/Yellow Strike; Black/Mica Green/Cosmic Fuchsia/Noise Aqua; Summit White/Hyper Pink/White/Blackened Blue; White/Mint Foam/University Blue/Metallic Silver,408,4.6
35,,Nike Metcon 8 AMP,Men's Training Shoes,3 Colors,$140,$98.97,https://www.nike.com/t/metcon-8-amp-mens-training-shoes-v5Dwq2/DQ4675-001,"You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous edition, so that you can float through your cardio, power through your lifts and dominate your workouts.",Sanddrift/Hemp/Coconut Milk/Black; Deep Purple/Barely Volt/Blackened Blue/Baltic Blue; Dark Smoke Grey/Smoke Grey/Light Smoke Grey/Black; Design your own Nike By You product,1,5
36,,Nike Blazer Mid '77,Women's Shoes,5 Colors,$115,,https://www.nike.com/t/blazer-mid-77-womens-shoes-4ZNgBz/FJ4547-100,Let your style bloom with the warmer weather. The Nike Blazer Mid '77 started in basketball and over the decades became a staple for those who love the retro look and the premium feel. Bold green accents and an extra-soft Swoosh logo keep your look fresh and new.,White/Barely Green/Gum Light Brown/Spring Green; White/Muslin/Metallic Gold Star/Team Red; Sail/Photon Dust/Phantom/Earth; White/Lilac/Green Glow/Safety Orange; Multi-Color/Sail/Habanero Red/White,0,0
37,,Nike Air Max 90 Futura x Serena Williams Design Crew,Shoes,1 Color,$150,,https://www.nike.com/t/air-max-90-futura-x-serena-williams-design-crew-shoes-J3MxNt/DX4221-200,"With its handcrafted feel and mixed materials, this Serena-inspired design delivers a sophisticated look that celebrates you being you. Easy-to-style colors let you wear it again and again, while energetic details like intricate layering and fresh branding bring a special aura to any outfit. Oh, and because we believe discovery is part of the fun, we've hidden small treasures throughout the shoes. Lace up and reveal your potential.",Hemp/Sanddrift/Summit White/White; Design your own Nike By You product,1,5
38,Sustainable Materials,Nike Air Max Terrascape 90,Men's Shoes,4 Colors,$140,$89.97,https://www.nike.com/t/air-max-terrascape-90-mens-shoes-61rLc8/DQ3987-002,"Air Max goes crunchy granola. The updated design pairs durable fabrics with colors that throw it back to your mom's favorite ski jacket from the '90s. You can throw them on or easily hook them to your pack with webbing pull tabs that double as clip points. A little crunch goes a long way, though—the classic Air technology makes every trail feel like you're literally walking on Air.",Midnight Navy/Obsidian/Black/Noise Aqua; White/White/White/White; Black/Black/Black/Black; Summit White/Pure Platinum/Wolf Grey/Red Clay,31,4.5
39,,NikeCourt Zoom Lite 3,Women's Tennis Shoes,2 Colors,$70,$47.97,https://www.nike.com/t/nikecourt-zoom-lite-3-womens-tennis-shoes-8gL3CB/DH1042-101,"At first glance, the NikeCourt Zoom Lite 3 looks like a classic tennis shoe. Look closer and you'll find that it's anything but. With a springy Zoom Air unit, grippy outsole and an incredibly comfortable, padded collar, it delivers the performance you need to play at your best.",White/Metallic Silver; Black/White/Metallic Red Bronze,52,4.6
40,,Nike Dunk High Premium,Women's Shoes,2 Colors,$140,,https://www.nike.com/t/dunk-high-premium-womens-shoes-ZhkMvb/DX2044-200,"No wardrobe is complete without aged and weathered leather. Bridging vintage style with hoops DNA, the '80s b-ball icon returns with premium leather that's been perfectly softened for a timeless look. Natural variations in the upper (don’t worry, they’re still ready for everyday wear) make it look like you've been styling them for years, while giving your kicks an elevated feel. Oh, and the plush, high-top collar lets you take your game anywhere—in comfort.",Vachetta Tan/White/Vachetta Tan; Pecan/White/Pecan; Design your own Nike By You product,10,4.7
41,,Air Max 90 LTR,Men's Shoes,2 Colors,$140,$98.97,https://www.nike.com/t/air-max-90-ltr-mens-shoes-VLtBwX/CZ5594-100,"The Nike Air Max 90 LTR stays true to its OG running roots with the iconic Waffle outsole, stitched overlays of smoothed leather and classic, color-accented TPU plates. The monochromatic upper provides versatile styling options while Max Air cushioning adds comfort to your step.",Black/Black/Black; White/White/White,153,4.8
42,,Nike Dunk Low,Big Kids' Shoes,1 Color,$85,,https://www.nike.com/t/dunk-low-big-kids-shoes-BF3nhv/FD1232-002,"Whether you're a hooper, skater or just love kicks, the Nike Dunk Low has been a fave for many athletes for decades. Durable leather gives you a classic '80s feel while the rubber sole gives grip and traction. It's time to play.",,3,4.3
43,,Nike Free Run 2018,Men's Road Running Shoes,4 Colors,$100,$79.97,https://www.nike.com/t/free-run-2018-mens-road-running-shoes-4VTnGqeZ/942836-100,"The Nike Free Run 2018 Shoe has been updated to deliver an even more adaptive fit than before. Stretch material in the upper moves with your foot, while the tri-star outsole pattern adjusts to your every step for a ride that delivers support and flexibility.",White/Black; Black/White; Wolf Grey/White/Volt/White; Black/Anthracite,382,4.6
44,,Nike Quest 5,Women's Road Running Shoes,5 Colors,$80,$51.97,https://www.nike.com/t/quest-5-womens-road-running-shoes-LwDvlv/DD9291-004,"You lace up in pursuit of new personal goals. Let the Nike Quest 5 help you reach those aspirations. This neutral trainer gives you a smooth, comfortable ride with plenty of traction. We focused on our foam, adding more cushioning for a better transition from heel to toe.",Black/Iron Grey/Dark Smoke Grey/White; White/Pure Platinum/Metallic Silver; Dark Smoke Grey/Olive Grey/Metallic Copper/Metallic Silver; Barely Rose/Pink Oxford/White/Rose Whisper; Black/White/Burgundy Crush/Mint Foam,57,4.5
45,Best Seller,Nike Air Max 90,Men's Shoes,4 Colors,$130,,https://www.nike.com/t/air-max-90-mens-shoes-6n3vKB/CN8490-003,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.",Iron Grey/Dark Smoke Grey/Black/White; Wolf Grey/Black/White/Black; Black/Black/Black/Black; White/White/Wolf Grey/White; Design your own Nike By You product,270,4.7
46,,Nike Zoom Metcon Turbo 2,Men's Training Shoes,8 Colors,$150,$85.97,https://www.nike.com/t/zoom-metcon-turbo-2-mens-training-shoes-qzmdn3/DH3392-001,"The Nike Zoom Metcon Turbo 2 puts a shot of adrenalizing speed into your everyday workout. It combines stability and responsiveness in a lightweight package to help you move quickly during circuit training, high intensity intervals on the treadmill, a squeezed-in cardio workout on the way home whatever you choose. From the Zoom Air cushioning underfoot to the rope wrap at the instep, every detail is pared down to minimize weight while maximizing function and durability. Lighter, stronger materials are built for speed and strength.",Cave Purple/Black/Bright Crimson; Iron Grey/Black/Phantom/Black; Phantom/Light Orewood Brown/Green Strike/White; Sail/Photon Dust/Blue Lightning/Citron Tint; Wolf Grey/Volt/Black/White; Volt/Wolf Grey/Photon Dust/Diffused Blue; Photon Dust/Light Bone/Cool Grey/White; Black/White/Anthracite/Metallic Cool Grey,18,4.3
47,Sustainable Materials,Nike Flex Experience Run 11,Men's Road Running Shoes,12 Colors,$70,$48.97,https://www.nike.com/t/flex-experience-run-11-mens-road-running-shoes-WljhRq/DD9284-401,"Comfortably zen, just like every run should be. With the Nike Flex Experience Run 11, we created a lightweight, clean design that feels as good as it looks. The shoes are supportive in all the right ways with movement so natural, you'll swear you've been wearing them for years.",White/Ashen Slate/Black; Black/Dark Smoke Grey; Cerulean/Peach Cream/White/Valerian Blue; Particle Grey/White/Black; Midnight Navy/Dark Obsidian/White; Black/White; Bright Crimson/Sail/Obsidian; Black/Gridiron/Coconut Milk/Indigo Haze,123,4.5
48,,Nike Air Max 2090,Women's Shoes,3 Colors,$150,$88.97,https://www.nike.com/t/air-max-2090-womens-shoes-nk9ZbX/CK2612-100,"Bring the past into the future with the Nike Air Max 2090. Inspired by the iconic Air Max 90, the 2090 features Nike Air cushioning underfoot that adds unparalleled comfort, while transparent mesh on the upper blends with timeless OG features for an edgy, modernized look.",Barely Rose/Metallic Silver/White; Black/Metallic Silver/White; White/Wolf Grey/Black,350,4.8
49,,Nike Metcon 8,Men's Training Shoes,9 Colors,$130,,https://www.nike.com/t/metcon-8-mens-training-shoes-ppltpW/DO9328-006,"You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous edition to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts.",Iron Grey/Black/Gum Medium Brown/Phantom; Volt/Wolf Grey/Photon Dust/Diffused Blue; Phantom/Light Orewood Brown/Green Strike; White/Bright Crimson/Obsidian; Anthracite/Blue Lightning/Hyper Royal/Citron Tint; Flat Pewter/Gum Medium Brown/Light Crimson/Phantom; Photon Dust/Light Bone/Anthracite/Black; Smoke Grey/Dark Smoke Grey/Light Smoke Grey/White; Black/Dark Smoke Grey/Smoke Grey/White; Design your own Nike By You product,66,4.4
